codigo,descricao
4.09.00000004497,ALICATE HIDRAULICO PRENSA/CRIMPA - TERMINAL 16 ATê 240MM˝
4.09.00000004500,MARRETA CABO BORRACHA 2KG GEDORE 21B REF:21B5
4.09.00000004510,MARRETA CABO BORRACHA 6KG GEDORE 21B
4.09.00000004519,CHAVE FIXA ( BOCA ) 30 X 32 REF. GEDORE 6 - 30 X 32
4.09.00000004523,CALÄO PARA RODAS DE BORRACHA SINTETICA 300 X 160 X 160MM
"4.09.00000004565,CHAVE FIXA 1.5/16 X 1.1/2"" REF. GEDORE 6 - 1.5/16 X 1.1/2"""
4.09.00000004599,CHAVE FIXA ( BOCA ) 22 X 27 MM REF. GEDORE 6 - 22 X 27
4.09.00000004697,JOGO SOQ ALLEN 1/2 GE 4?17MM IN19/8M
4.09.00000004754,CHAVE FENDA (1/8 X 03)
4.09.00000004781,JG SOQ EST 1/2 D19PMZ 10MM-1.1/4 GE
4.09.00000004994,BALDE COM GRADUACAO PLASTICO 20 LT
4.09.00000005124,CARTUCHEIRA EM COURO PARA PREGOS
4.09.00000005166,SOQUETE ESTRIADO 1.1/2
4.09.00000005229,SOQUETE ESTRIADO 2.1/4
4.09.00000005280,REDUCAO/ADAPT 3/4 X 1
4.09.00000005283,PICARETA/CHIBANCA C/ CABO 90CM
4.09.00000005405,BOMBA MANUAL P/ OLEO DUPLO EFEITO
4.09.00000005518,AR LI AÄO  F- 436 5/8
4.09.00000005521,MALETA DIGITAL
"4.09.00000005528,PRO SOQUETE PONTA HEXAGONAL 1/2""X10MM"
4.09.00000005531,KIT DETECTOR DE VAZAMENTO ULTRA VIOLETA
4.09.00000005797,DESNIMETRO DE VIDRO PARA BATERIA FER: INCOTERM 4.09.5797
4.09.00000005839,BATEDOR 1.35/2 - 040.935 GEDORE 301  82055900
4.09.00000005871,MANOMETRO AR 200 PSI 1/4 NPT LATERAL GLICERINA
4.09.00000005872,MAN AR 250 PSI 1/4 NPT LATERAL GLICERINA
4.09.00000005873,MAN AR 200 PSI 1/4 NPT TRAZEIR GLICERINA
4.09.00000005885,MARRETA TIPO CUNHA 4 KG
4.09.00000005950,SOQUETE IMP 1 GEDORE 19 MM K21
4.09.00000005TON,CINTA COM CATRACA 50 M.M- 9 METROS - 5 TONELADAS
4.09.00000006000,CAVALETE MEC«NICO 6 TONELADAS CT 6000 BOVENAU
4.09.00000006003,CHAVE STARTER ( MEIA LUA ) 15 X 17 MM REF. GEDORE 304 - 15 X 17
4.09.00000006006,CHAVE STARTER 13 X 15 MM
"4.09.00000006051,CHAVE STARTER (MEIA-LUA) 7/16 X 1/2"" - REF. REF. 304 - 7/16 X 1/2"""
4.09.00000006231,LAVAJATO LJ 7000 FIXA C MT 5HP 220/380V C MANG 1/2 REF: 6231
4.09.00000006300,PISTOLA HD / HDS MT 466370
4.09.00000006589,CATRACA REVERSIVEL 3/8
4.09.00000006690,CHAVE DE GRIFO - 12''
4.09.00000006788,JG ALIC P/ANEIRS EXT/INT GED 4P C8000A-J4
4.09.00000006X5M,CONTAINER MODULO VESTIµRIO ACLOPADO TERMO ACUSTICO 6 X 5 M
4.09.00000007094,MANG. HIDRAUL. SAE 100R7 AT 3/8 TEXTIL
4.09.00000007219,CADEADO 25MM
4.09.00000007319,BALANÄA DE M«O
4.09.00000007399,CINTA PARA ANêIS DE PIST«O 125/1 60 a 125 MM
4.09.00000007412,ESMERILHADEIRA  4.1/2 840W 9557HNG 220V
4.09.00000007455,FG RETA 11/16 PARALELA X3/8 P/MANGOTE
4.09.00000007457,FG RETA 1 PARALELA X 5/8 REF: 7457
4.09.00000007510,FG RETA 9/16 JIC X 3/8
4.09.00000007658,JOGO CH FENDA / PHILIPS 5P 150/160S
4.09.00000007739,BALDE 10 LITROS
4.09.00000007740,BALDE 15 LITROS
4.09.00000007782,REGISTRO ESFERA 1552 3 DECA
4.09.00000007849,JOGO DE VAZADORES COM 12 PEÄAS
4.09.00000007882,PINGADEIRA DE OLEO COM TRIPE E 6 FUNIS REF. HYDRONLUBZ-7882
4.09.00000007980,SACA PRISIONEIRO GEDORE 8600/1
4.09.00000008047,MF 13/16 PARALELO X 5/8
4.09.00000008064,MF 13/16 PARALELO X 3/8
4.09.00000008098,LANTERNA DE CABEÄA FOCO AJUSTAVEL
4.09.00000008141,ESCADA TREPADEIRA ALUMINIO 7 DEGRAUS
4.09.00000008142,MALETA AUXILIAR DE PARTIDA
4.09.00000008143,TALHA MANUAL 2,0T 3M 
4.09.00000008144,SACA FILTRO OLEO TRES GARRAS 3/8 DE 65 A 100MM
"4.09.00000008145,CARRETEL RETRATIL AUT. P/AR MANG. 15M 1/2"" C/ BICO LIMP."
4.09.00000008146,CAIXA FERRAMENTAS 5 GAV C/ 81PCS 44952/681
4.09.00000008147,CHAVE IMPACTO 1 PN LONGA 455 KGFM PRO-198 LDR PDR
4.09.00000008148,JOGO SOQUETE ESTRIADO 1/2 8-32MM 23PCS 44833/222
4.09.00000008149,PROPULSORA GRAXA 20KG C/MANGUEIRA 1/4 - 4MTS UNIDADE MOVEL 8596
"4.09.00000008150,CATRACA 1/2"" REVERSIVEL ARTICULADA"
4.09.00000008151,LIXADEIRA PN ROTO ORBIT 6POL C/KIT SUCC CP7255SVE CHICAG
4.09.00000008152,CHAVE SOQUETE ESTRIADO ENC. 1/2'' X 08MM
4.09.00000008153,BITS PHILLIPS PH2 - 1/4'' DUPLO LONGO 110MM (UNID)
4.09.00000008154,MARCADOR PARA PNEUS PM2200 - 1128.03
4.09.00000008155,BANQUETA INDUSTRIAL 3DEG ALTURA 75CM BANPRO 750 ESCALEVE
4.09.00000008156,INVERSORA /RETIF SOLDA TIG 120/200A BIVOLT AUTOM RIV228 VRD
4.09.00000008157,ESMERILHADEIRA 4.1/2 850W GWS850 1377 220V C/3 DISCOS
4.09.00000008158,LAVADORA 450LB 1CV 220V MONO MOT INDUCAO C/RODA MB0147C
4.09.00000008159,LAVADORA 400LB 2CV 220V TRIF MOT INDUCAO C/RODA AQUA2400T PRESSURE
4.09.00000008160,MARTELO ANTI RETROCESSO 248H-45 0.900G
4.09.00000008161,BROCA METAL DURO 338 05.00 MM TDC (C‡DIGO FµBRICA 000623)
4.09.00000008162,ESTICADOR HIDRAULICO 30 TONELADAS 
4.09.00000008163,FURADEIRA 3/8 2EVEL 570W 220V (6602)
4.09.00000008164,PROPULSORA PNEUMATICA DE GRAXA 20KG
4.09.00000008165,BROCA METAL DURO 338 12.00 MM TDC (C‡DIGO FµBRICA 1041200100)
4.09.00000008166,OPACIMETRO SMOKE CHECK 2000
4.09.00000008167,TALHA D/ALAV. 3000KG 3,0M COR.ELO 3000 AL.300-030
"4.09.00000008168,ESCADA COM PLATAFORMA (MEDIDA DA ESCADA: 6000X1200MM; MEDIDA DA PLATAFORMA: 3400X1200MM)"
4.09.00000008169,SNOW FOAM PRO BLACK
4.09.00000008170,ADAPTADOES SNOW FOAM 
4.09.00000008171,GUINCHO ELETRICO 0,3/0,6 TON 220V
4.09.00000008172,SUPORTE GUINCHO ELETRICO 110/220V
4.09.00000008173,KIT CHAVE FENDA E PHILLIPS - 08 PECAS
4.09.00000008174,JOGO DE CHAVES COMBINADAS (6 A 22MM)
4.09.00000008175,FURADEIRA INDUSTRIAL 113D GSB 13 RE
4.09.00000008176,BROCA AR 5.0MM
4.09.00000008177,BROCA SERPENTINA 
4.09.00000008178,EQUALIZADOR PARA CONTROLE DIMENSIONAL DE PNEUMATICOS
4.09.00000008179,BANCADA DE SOCARIA BSC01-SM
4.09.00000008180,DESSULFATADOR BATERIA F30
4.09.00000008181,MARRETA DE COBRE  CABO DE ACO EMBORRACHADO 5KG
4.09.00000008182,MARRETA DE COBRE  CABO DE ACO EMBORRACHADO 2KG 
4.09.00000008183,VOLTIMETRO ANALOGICO
4.09.00000008184,FUNIL USO GERAL 180 NORMAL CHAPA GALV. LUB 55
4.09.00000008185,FUNIL P/VW ALCOOL 150 CHAPA GALV. 000.LUB-62
4.09.00000008186,JOGO DE BITS TORK HEXAGONAL E MULTIDENTADA COM 42 PEÄAS
4.09.00000008187,MEDIDOR DE INCLINACAO DIGITAL COM BASE MAGNETICA
4.09.00000008188,TRENA A LASER 30M
4.09.00000008189,SACA PINO 349/6
4.09.00000008190,PROPULSORA PN GRAXA C/RODZ E RESERV 30KG
4.09.00000008191,JOGO DE FERRAMENTAS C/150 PECAS
"4.09.00000008192,SOQUETE SEXTAVADO LONGO 1/2"" - 22MM "
"4.09.00000008193,SOQUETE DE IMPACTO 1"" CH 24 LONGA"
4.09.00000008194,JG. SOQUETE 1/4+3/8+1/2 SEXTAVADO 172PCS
4.09.00000008195,KIT AR HOBBY UNITARIO
4.09.00000008196,CONJ BROCAS AR IRW 9PCS 2-8MM ETJ
4.09.00000008197,BROCA ACO RAPIDO 10.0
4.09.00000008198,LIMA ROTATIVA HTOM CONICA COM RAIO 12X28X6X73 CQC 
4.09.00000008199,GERADOR SOLAR DE ILUMINACAO - TIS-3P500- M-12-23-7,5M-6B280-6H50-BR
4.09.00000008320,BOMBA PNEUMATICA DA DIAFRAGMA
4.09.00000008442,JOGO CHAVE FENDA/PHILLIPS -  BELZER 6 PC
4.09.00000008445,CAVADEIRA ARTICULADA 120CM
4.09.00000008446,CHAVE CANHAO 13X150
4.09.00000008447,SUPORTE DE FERRAMENTA
"4.09.00000008448,CHAVE SOQUETE IMPACTO ENCAIXE  1""X 36MM LONGA"
"4.09.00000008449,CHAVE SOQUETE IMPACTO ENCAIXE 1"" X 46MM LONGO"
"4.09.00000008450,CHAVE SOQUETE IMPACTO ENCAIXE 1"" X 33 MM LONGO"
4.09.00000008451,CHAVE CANHAO LONGA 12 MM 33L
4.09.00000008452,EXTENSAO 6 TOMADAS
4.09.00000008453,JOGO CHAVE ALLEN LONGA POL 1/16-9/16 14PCS C/SUPORTE 44422/214
4.09.00000008454,EXTRATOR DE BLOCOS
4.09.00000008455,JG SOQUETE/PONTEIRA 1/4 33PCS CR.V 
4.09.00000008456,MAQUINA SOLDA  FONTE  250VRD AMP (TIG LIFT/MMA)22
4.09.00000008457,MAQUINA SOLDA  FONTE 300VRD (TIG/ELETRODO)220
4.09.00000008458,FERRAMENTA DE CORTAR FILTRO
4.09.00000008459,CHAVE ESTRIADA PARA FILTRO DE OLEO 36MM 101038 E-TORQ
4.09.00000008460,CAVADEIRA ARTICULADA COM LAMINA 145 CM
4.09.00000008461,CHAVE COMBINADA 50 MM
4.09.00000008462,SOQUETE TORX 1/2 E10
4.09.00000008463,CHAVE IMPACTO 1/2 1220NM
4.09.00000008464,TORQUIMETRO ESTALO ENC 3/4 150- 800NM 44508/400
4.09.00000008465,JOGO SOQUETE SEXTAVADO 1/2 (10 A 32MM) 22 PCS 
4.09.00000008466,MODULO METALICO TIPO CONTAINER VAO LIVRE STANDER MP
4.09.00000008467,PONTEIRO PARA ROMPEDOR R 03 P RAMMER
4.09.00000008468,SACA POLIA 2 GARRAS 8564-2 (110MM)
4.09.00000008469,SACA POLIA 2 GARRAS 8564-3 (150MM)
4.09.00000008470,SACA POLIA 2 GARRAS 8564-4 (200MM)
4.09.00000008471,SACA POLIA 2 GARRAS 8566-1
4.09.00000008472,SACA POLIA  2 GARRAS 8562-3 
4.09.00000008473,SACA POLIA 2 GARRAS 8566-2
4.09.00000008474,CAVALETE TIPO PREGUICA
4.09.00000008475,JOGO DE ALICATE P/ANEL C800-J8 5'' - 7'' 
4.09.00000008476,TORQUIMETRO ESTALO ENC 1/2 20-100 NM 44506/301
4.09.00000008477,MARTELO UNHA CABO DE FIBRA 27MM
4.09.00000008478,SERROTE BI-METAL 450MM 18Ô CABO PVC
4.09.00000008479,CARRINHO PLATAFORMA MADEIRA MP-600
4.09.00000008480,CHAVE GANCHO COM PINO 68-75 MM
4.09.00000008481,CHAVE GANCHO COM ORELHA 80-90 MM
4.09.00000008482,JOGO CHAVES TRAFIX 15 PECAS
4.09.00000008483,BROCA ACO RAPIDO 13.0
4.09.00000008484,SOQUETE 1/2 SEXTAVADO 10MM
4.09.00000008485,DISPOSITIVO UNIVERSAL P/ PRê CARGA EM ACUMULADORES A NITROG“NIO N˝
4.09.00000008486,JOGO DE FRESAS ESCARIADORAS COM 10 PECAS
4.09.00000008487,ESMERILHADEIRA ANGULAR PROFISSIONAL GWS 2200-180 220V 
4.09.00000008488,CACHIMBO 21MM 
4.09.00000008489,JOGO DE SACA PARAFUSOS COM 6 PECAS
4.09.00000008490,ANEL DE CARGA G-8 SV 3/4 C/SUB ELO
4.09.00000008491,GANCHO OLHAL C/TRAVA 3000 KG 5/8 EC
4.09.00000008492,ELO DE LIGACAO G-8 SV 13-8
4.09.00000008493,MULTIMETRO DIGITAL MINIPA ET-163
4.09.00000008494,JOGO DE SOQUETE SEXTAVADO 1/2 10MM-1 1/4 43PCS
4.09.00000008495,CHAVE DE IMPACTO DE 1/2 
4.09.00000008496,ROÄADEIRA GASOLINA 2 TEMPOS RT43L 43CC 1.7
4.09.00000008497,MISTURADOR ELETRICO P/ ARGAMASSA 220V
4.09.00000008498,CHAVE VDE JOGO CHAVE ALLEN 03 A 12 MM ( V- 42 - 7M ) 
4.09.00000008499,ESCADA TESOURA DUPLA 
4.09.00000008500,PISTOLA CPLP/LAVADORA HIDROLUB
"4.09.00000008501,SOQUETE 1""X 30MM SEXT. IMP.LONGO"
4.09.00000008502,JOGO BITS 46 PCS 
4.09.00000008503,JOGO PONTA MONT 1/8 1/4 10PC 
4.09.00000008504,CHAVE CUBO OITAVADA 
4.09.00000008505,JOGO BROCAS AR 9PCS 
4.09.00000008544,BALDE 5 LITROS
"4.09.00000008770,PRO EXTENSAO 5"""
"4.09.00000008775,PRO CATRACA 10"""
4.09.00000008789,JOGO DE FERRAMENTAS COM 129 PEÄAS
4.09.00000008828,ASPIRADOR CICLONE SOTECO 220VOLTS POEIRA FINA
4.09.00000008842,ALICATE P/ ABRAÄADEIRAS DAS MANGUEIRAS DE AGUA COM PONTA MOVEL
4.09.00000008848,SOPRADOR TêRMICO
4.09.00000008849,GARRA JACARE 50A PEQUENA
4.09.00000008852,VOLANTE PARA TAMBOR
"4.09.00000008874,ENCAIXE DE 1"" POLEGADA"
4.09.00000008999,ALICATE P/ ANEL EXT. CURVO 8000/A21
4.09.00000009134,CHAVE ALLEN GED. HEX. 42 22,0MM
"4.09.00000009146,UNIDADE DE ABASTECIMENTO PRO- ARLA 32 - 1 - MEDIDOR DIGITAL E GATILHO AUTOMATICO 1"" 220"
4.09.00000009366,BROCA METAL DURO 338 10.00 MM TDC (C‡DIGO FµBRICA 10410001000)
"4.09.00000009639,REDUÄ«O IMPACTO GEDORE 3/4"" X 1"" REF. KB 3219"
"4.09.00000009640,REDUÄ«O IMPACTO 3/4"" X 1/2 REF. 44899"
4.09.00000009641,PISTOLA PINTURA SUCCAO
"4.09.00000009642,ALICATE PARA ANEL EXTERNO RETO 23"" 8000/A6"
4.09.00000009643,MACACO HIDRAULICO TIPO UNHA 2 TONELADAS
4.09.00000009644,SCANNER DE  DIAGNOSTICO KIT COMPLETO (MERCEDES) 
4.09.00000009645,CHAVE DE ESTRELA 11 MM
4.09.00000009646,CHAVE DE ESTRELA 10 MM
4.09.00000009647,CHAVE DE ESTRELA 12 MM
4.09.00000009648,CHAVE DE ESTRELA 13 MM
4.09.00000009649,CHAVE DE ESTRELA 14 MM
4.09.00000009650,CHAVE DE ESTRELA 15 MM
4.09.00000009651,CHAVE DE ESTRELA 17 MM
4.09.00000009652,CHAVE DE ESTRELA 19 MM
4.09.00000009653,ALICATE PRENSA TERMINAL PRE-ISOL AP-054
4.09.00000009654,JOGO SERRA COPO BIMETALICA 19-76MM 14 PCS
4.09.00000009655,ALICATE DESEMCAPADOR AUTOM 8' 
"4.09.00000009656,NIVEL PLASTICO 9"" 230MM MAGNETICO"
4.09.00000009657,MACACO HIDRAULICO PARA RODA DUPLA
4.09.00000009658,MARTELO REBARTADOR PNEUMATICO
4.09.00000009659,REGULADOR OXIGENIO 
4.09.00000009660,MARRETA DE BORRACHA 
4.09.00000009661,LIXADEIRA ESMERILHADEIRA C/ 2 BATERIAS 20V 01 CARREGADOR 
4.09.00000009662,FURADEIRA/PARAFUSADEIRA C/ BATERIA 5aH + CARREGADOR BIVOLT
4.09.00000009663,CHAVE DE FENDA SIMPLES 1/4X4 
4.09.00000009664,ALICATE CORTE DIAGONAL6.1/2
"4.09.00000009665,LAMINA DE SERRA BIMETAL 12""24D"
4.09.00000009666,ALICATE AMPERIMETRO DIGITAL 
4.09.00000009667,ALICATE CRIMPADOR AUTOMATICO 8 24/60
4.09.00000009668,PC PORTA BICO TOCHA TBI PRO153 M6 0914731 
4.09.00000009874,CADEADO PAPAIZ CR 35
4.09.00000009920,TUBO DE SUCCAO ARLA 32 V DE SEG E REG DE SEGURANCA
4.09.00000009942,CHAVE COMBINADA 31 MM REF. GEDORE 1 B - 31
4.09.00000009981,SACA FILTRO DE CINTA GRANDE
4.09.00000009982,CHAVE SEXTAVADA 114MM ENCAIXE DE 3/4 POL - PARA PORCA DO CUBO DE RODA TRASEIRO
4.09.00000009983,BOMBA ELêTRICA DE TRANSFER“NCIA
4.09.00000009989,SACA FILTRO CINTA PEQUENA
4.09.0000000A350,MANOMETRO GLICERINA 0 A 350 PSI / 0 A 25 BAR
4.09.0000000A850,MANOMETRO GLICERINA 0 A 850 PSI / 0 A 60 BAR
4.09.0000000AM13,ARMARIO PORTA FERRAMENTAS REF: MARCON AM-13
4.09.0000000AM50,ARMARIO PARA FERRAMENTAS BASIC CMB B005
4.09.0000000B900,PISTOLA C MEDIDOR DIGITAL P OLEO REF: B900
"4.09.0000000FG16,MORSA PARA FURADEIRA ""4"""
4.09.0000000L850,BOMBA ELETRICA SUBMERSA 3/4 370W 220V REF. LIDER L850
4.09.0000000ME10,MOTO ESMERIL PARA BANCADA
4.09.0000000MLT3,PONTA DE PROVA PARA MULTIMETRO E ALICATE AMPERIMETRO ( MINIPA MLT-3 )
4.09.0000000MT30,MACACO ESPECIAL 30T
4.09.0000000NC40,CAVALETE MECANICO 40 TON ALTURA MINIMA DE 400MM REF. NC400 ? Nß 3044 NOWAK
4.09.0000000PNT4,CALIBRADOR DE PNEUS IV DE PAREDE 4-145PSI 220V  REF. EXCEL PNEUTRONIC-PNT4
4.09.0000000V400,VULCANIZADOR PARA CAMARA DE AR 220V REF. VILUZ-VCA400
4.09.0000000Y6AC,YOKE REF: Y6 AC MAGNAVIS
4.09.00000010000,CHAVE PARA PORCA DE CILINDRO
4.09.00000010001,SACA PINO UNIVERSAL 2KG
4.09.00000010002,CALCO PARA BRACO PRIMARIO 570 MM
4.09.00000010003,TRAVA BRACO SECUNDARIO SUPERIOR
4.09.00000010004,SACA RODA DE PLATAFORMA ELEVATORIA
4.09.0000001050F,FURADEIRA DE IMPACTO 5/8 4.09.1050. VODER- 220V
4.09.00000011009,FUNIL COM TELA PARA TRATORES REF. COBEL-11009
4.09.00000011220,FERRO DE SOLDA 100 W 220V REF: WESTERN G-11/220
4.09.00000011431,CHAVE SOQUETE PONTA TORX 1/2 GEDORE ITX19-T55
4.09.00000011551,CARRINHO FECHADO COM 3 GAVETAS CHAVEADO N6
"4.09.00000011799,LIXADEIRA ELETRICA ANGULAR 110V 7"" - 2200W 18A70D0 5000RPM"
4.09.00000011856,RETIFICADEIRA ELET. 220V MONOF 500W 12240 28000RPM
4.09.00000012000,CHAVE HEXAGONAL (ALLEN) LONGA 2 MM - REF. GEDORE 42 L - 2
4.09.00000012001,CHAVE HEXAGONAL (ALLEN) 1,5 MM - REF. GEDORE 42 - 1,5
4.09.00000012003,CHAVE HEXAGONAL (ALLEN) 2,5 MM - REF. GEDORE 42 - 2,5
4.09.00000012015,CHAVE HEXAGONAL ( ALLEN ) 16 MM REF. GEDORE  42 - 16
4.09.00000012016,CHAVE HEXAGONAL ( ALLEN ) 17 MM REF. GEDORE 42 - 17
4.09.00000012018,CHAVE HEXAGONAL (ALLEN) 22 MM - REF. GEDORE 42 - 22
4.09.00000012019,CHAVE HEXAGONAL (ALLEN) 24 MM - REF. GEDORE 42 - 24
4.09.00000012020,TAMPA COMPACTADOR GRAXA 4040SM PARA PROPULSORA 12020
"4.09.00000012051,CHAVE HEXAGONAL (ALLEN) 5/64"" - REF. GEDORE 42 - 5/64"""
"4.09.00000012064,CHAVE HEXAGONAL (ALLEN) 11/16""  - REF. GEDORE 42 - 11/16"""
"4.09.00000012066,CHAVE HEXAGONAL (ALLEN) 7/8""  - REF. GEDORE 42 - 7/8"""
"4.09.00000012067,CHAVE HEXAGONAL (ALLEN) 1""  - REF. GEDORE 42 - 1"""
"4.09.00000012068,CHAVE HEXAGONAL (ALLEN) 9/64""  - REF. GEDORE 42 - 9/64"""
"4.09.00000012069,CHAVE HEXAGONAL (ALLEN) 9/32""  - REF. GEDORE 42 - 9/32"""
4.09.00000012205,CHAVE HEXAGONAL (ALLEN) LONGA 4 MM - REF. GEDORE 42 L - 4
4.09.00000012206,CHAVE HEXAGONAL (ALLEN) LONGA 5 MM - REF. GEDORE 42 L - 5
4.09.00000012207,CHAVE HEXAGONAL (ALLEN) LONGA 6 MM - REF. GEDORE 42 L - 6
4.09.00000012211,CHAVE HEXAGONAL (ALLEN) LONGA 10 MM - REF. GEDORE 42 L - 10
4.09.00000012212,CHAVE HEXAGONAL (ALLEN) LONGA 11 MM - REF. GEDORE 42 L - 11*
4.09.00000012214,CHAVE HEXAGONAL (ALLEN) LONGA 14 MM - REF. GEDORE 42 L - 14
"4.09.00000012253,CHAVE HEXAGONAL (ALLEN) LONGA 1/8"" - REF. GEDORE 42 L - 1/8"""
"4.09.00000012255,CHAVE HEXAGONAL (ALLEN) LONGA 3/16"" - REF. GEDORE 42 L - 3/16"""
"4.09.00000012256,CHAVE HEXAGONAL (ALLEN) LONGA 7/32"" - REF. GEDORE 42 L - 7/32"""
"4.09.00000012257,CHAVE HEXAGONAL (ALLEN) LONGA 1/4"" - REF. GEDORE 42 L - 1/4"""
"4.09.00000012259,CHAVE HEXAGONAL (ALLEN) LONGA 3/8"" - REF. GEDORE 42 L - 3/8"""
"4.09.00000012260,CHAVE HEXAGONAL (ALLEN) LONGA 7/16"" - REF. GEDORE 42 L - 7/16"""
"4.09.00000012261,CHAVE HEXAGONAL (ALLEN) LONGA 1/2"" - REF. GEDORE 42 L - 1/2"""
"4.09.00000012262,CHAVE HEXAGONAL (ALLEN) LONGA 9/16"" - REF. GEDORE 42 L - 9/16"""
4.09.00000012307,CHAVE SOQUETE ALLEN LONGA DE 1/2 POL. 5MM - GEDORE IN19L-5
4.09.00000012361,CHAVE L ABAULADA 14
"4.09.00000012370,CABO COM QUADRADO PARA SOQUETE 1/4"" REF. GEDORE 2098"
4.09.00000012500,MACACO HIDRAULICO TIPO GARRAFA 12 TON ( REFERENCA 99576 MODELO 12500 )
4.09.00000012909,CHAVE L ABAULADA 10
4.09.00000012910,CHAVE L ABAULADA 12
"4.09.00000013001,SOQUETE SEXTAVADO DE 1/4"" DE 4 MM - REF. GEDORE 20 - 4"
4.09.00000013002,SOQUETE SEXTAVADO DE 1/4 DE 4,5 MM - REF. GEDORE 20 - 4,5
4.09.00000013003,SOQUETE SEXTAVADO DE 1/4 DE 5 MM - REF. GEDORE 20 - 5
"4.09.00000013004,SOQUETE SEXTAVADO DE 1/4"" DE 5,5 MM - REF. GEDORE 20 - 5,5"
"4.09.00000013005,SOQUETE SEXTAVADO DE 1/4"" DE 6 MM - REF. GEDORE 20 - 6"
"4.09.00000013006,SOQUETE SEXTAVADO DE 1/4"" DE 7 MM - REF. GEDORE 20 - 7"
"4.09.00000013007,SOQUETE SEXTAVADO DE 1/4"" DE 8 MM - REF. GEDORE 20 - 8"
"4.09.00000013008,SOQUETE SEXTAVADO DE 1/4"" DE 9 MM - REF. GEDORE 20 - 9"
"4.09.00000013009,SOQUETE SEXTAVADO DE 1/4"" DE 10 MM - REF. GEDORE 20 - 10"
"4.09.00000013010,SOQUETE SEXTAVADO DE 1/4"" DE 11 MM - REF. GEDORE 20 - 11"
"4.09.00000013011,SOQUETE SEXTAVADO DE 1/4"" DE 13 MM - REF. GEDORE 20 - 13"
"4.09.00000013012,SOQUETE SEXTAVADO DE 1/4"" DE 12 MM - REF. GEDORE 20 - 12"
"4.09.00000013014,SOQUETE SEXTAVADO DE 1/4"" DE 14 MM - REF. GEDORE 20 - 14"
"4.09.00000013051,SOQUETE SEXTAVADO DE 1/4"" DE 3/16"" - REF. GEDORE 20 - 3/16"""
"4.09.00000013052,SOQUETE SEXTAVADO DE 1/4"" DE 7/32"" - REF. GEDORE 20 - 7/32"""
"4.09.00000013054,SOQUETE SEXTAVADO DE 1/4"" DE 9/32"" - REF. GEDORE 20 - 9/32"""
"4.09.00000013055,SOQUETE SEXTAVADO DE 1/4"" DE 5/16"" - REF. GEDORE 20 - 5/16"""
"4.09.00000013057,SOQUETE SEXTAVADO DE 1/4"" DE 3/8"" - REF. GEDORE 20 - 3/8"""
"4.09.00000013058,SOQUETE SEXTAVADO DE 1/4"" DE 7/16"" - REF. GEDORE 20 - 7/16"""
"4.09.00000013060,SOQUETE SEXTAVADO DE 1/4"" DE 11/32"" - REF. GEDORE 20 - 11/32"""
"4.09.00000013061,SOQUETE SEXTAVADO DE 1/4"" DE 1/4"" - REF. GEDORE 20 - 1/4"""
"4.09.00000013062,SOQUETE SEXTAVADO DE 1/4"" DE 1/2"" - REF. GEDORE 20 - 1/2"""
4.09.00000013161,CHAVE  COMB 1 13/16 GEDORE
"4.09.00000013200,CABO DE FORÄA T DE 1/4"" REF. GEDORE 2087"
"4.09.00000013220,EXTENÄ«O 1/4"" CURTA DE 4"" REF. GEDORE 2090 - 4"""
"4.09.00000013230,CATRACA SIMPLES PARA SOQUETE 1/4"" REF. GEDORE 2093 Z-94"
4.09.00000013235,CAPO T 3/8
"4.09.00000013250,JUNTA UNIVERSAL PARA SOQUETE 1/4"" REF. GEDORE 2095"
"4.09.00000013270,CABO COM QUADRADO 1/4"" REF. GEDORE 2098"
4.09.00000013306,JOGO DE SOQUETE SEXTAVADO ENCAIXE 1/2'' (CHAVES DE 3/8 A 1.1/4 POL)
4.09.00000013398,ACESS.1/2 GEDORE 015.340 ADAPT.1/2 P/3/4
4.09.00000013434,CHAVE COMB 1 3/4 - GEDORE
4.09.00000013510,GRAMPO 6 X 150MM
4.09.00000013528,MOTOESMERIL DE BANCADA 10'' 220V 300W - SCHULZ
4.09.00000014032,FUNIL C BICO SANFONADO 135 MM
"4.09.00000014110,MANIVELA PARA SOQUETE ENCAIXE 3/8"" REF: GEDORE 3084"
4.09.00000014130,EXTENÄ«O 38/'' 5''
"4.09.00000014145,EXTENS«O LONGA 12"" PARA SOQUETE DE 3/8"" REF. GEDORE 3090 - 12"""
"4.09.00000014170,JUNTA UNIVERSAL 3/8"" REF. GEDORE 3095"
"4.09.00000014202,JOGO DE SOQUETE 3/8 ESTRIADO DE 1/4 A 7/8"" REF: GEDORE 30 TPZ"
4.09.00000014221,SACA ROLAMENTO DO TORK
4.09.00000014789,CHAVE TRAFIX LT20 LOYAL REF: 14789
"4.09.00000015004,SOQUETE SEXTAVADO DE 1/2"" DE 9 MM - REF. GEDORE 19 - 9"
"4.09.00000015005,SOQUETE SEXTAVADO DE 1/2"" DE 10 MM - REF. GEDORE 19 - 10"
"4.09.00000015006,SOQUETE SEXTAVADO DE 1/2"" DE 11 MM - REF. GEDORE 19 - 11"
"4.09.00000015007,SOQUETE SEXTAVADO DE 1/2"" DE 12 MM - REF. GEDORE 19 - 12"
"4.09.00000015017,SOQUETE SEXTAVADO DE 1/2"" DE 22 MM  - REF. GEDORE 19 - 22"
